label,timestamp_s,total_rss_kb,num_procs
100pct__smash_warm,0.001,364,1
100pct__smash_warm,0.502,167268,2
100pct__smash_warm,1.003,568196,3
100pct__smash_warm,1.503,622420,3
100pct__smash_warm,2.004,623100,3
100pct__smash_warm,2.505,628432,3
100pct__smash_warm,3.006,634480,3
100pct__smash_warm,3.506,632456,3
100pct__smash_warm,4.007,632540,3
100pct__smash_warm,4.508,632928,3
100pct__smash_warm,5.009,633100,3
100pct__smash_warm,5.509,633460,3
100pct__smash_warm,6.010,633668,3
100pct__smash_warm,6.511,634080,3
100pct__smash_warm,7.012,634344,3
100pct__smash_warm,7.512,634524,3
100pct__smash_warm,8.013,634896,3
100pct__smash_warm,8.514,635464,3
100pct__smash_warm,9.015,635856,3
100pct__smash_warm,9.516,636284,3
100pct__smash_warm,10.016,636664,3
100pct__smash_warm,10.517,646144,3
100pct__smash_warm,11.018,650092,3
100pct__smash_warm,11.519,225080,2
100pct__smash_warm,12.021,2359152,14
100pct__smash_warm,12.522,2413032,14
100pct__smash_warm,13.024,2466884,14
100pct__smash_warm,13.525,2511676,14
100pct__smash_warm,14.027,2645136,14
100pct__smash_warm,14.528,2743100,14
100pct__smash_warm,15.030,2746344,14
100pct__smash_warm,15.531,2781044,14
100pct__smash_warm,16.033,2792420,14
100pct__smash_warm,16.534,2813932,14
100pct__smash_warm,17.036,2837572,14
100pct__smash_warm,17.538,2881264,14
100pct__smash_warm,18.039,2904092,14
100pct__smash_warm,18.541,2929732,14
100pct__smash_warm,19.042,2936080,14
100pct__smash_warm,19.544,2940152,14
100pct__smash_warm,20.045,2953468,14
100pct__smash_warm,20.547,2966380,14
100pct__smash_warm,21.048,2985384,14
100pct__smash_warm,21.550,3010328,14
100pct__smash_warm,22.052,3021136,14
100pct__smash_warm,22.553,3034640,14
100pct__smash_warm,23.055,3054796,14
100pct__smash_warm,23.556,3080660,14
100pct__smash_warm,24.058,3097860,14
100pct__smash_warm,24.559,3133956,14
100pct__smash_warm,25.061,3146996,14
100pct__smash_warm,25.563,3154516,14
100pct__smash_warm,26.064,3151640,14
100pct__smash_warm,26.566,3161584,14
100pct__smash_warm,27.067,3172024,14
100pct__smash_warm,27.569,3177092,14
100pct__smash_warm,28.071,3189760,14
100pct__smash_warm,28.572,3206320,14
100pct__smash_warm,29.074,3222968,14
100pct__smash_warm,29.575,3233568,14
